Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1971-07-24,17.909,27.178,Jul
1971-07-25,29.124,84.328,Jul
1971-07-26,10.118,5.842,Jul
1971-07-27,77.111,22.860,Jul
1971-07-28,0.517,2.286,Jul
1971-07-29,0.909,0.508,Jul
1971-07-30,0.182,11.176,Jul
1971-07-31,5.132,45.212,Jul
1971-08-01,32.797,72.390,Aug
1971-08-02,14.990,19.304,Aug
1971-08-03,0.000,0.000,Aug
1971-08-04,0.000,0.000,Aug
1971-08-05,4.127,2.032,Aug
1971-08-06,4.005,11.430,Aug
1971-08-07,2.130,2.794,Aug
1971-08-08,1.169,38.608,Aug
1971-08-09,12.350,3.556,Aug
1971-08-10,0.066,2.286,Aug
1971-08-11,0.056,0.000,Aug
1971-08-12,0.216,3.810,Aug
1971-08-13,2.239,29.464,Aug
1971-08-14,1.654,3.302,Aug
1971-08-15,0.618,2.286,Aug
1971-08-16,3.984,0.254,Aug
1971-08-17,4.675,1.270,Aug
1971-08-18,2.838,0.762,Aug
1971-08-19,3.069,9.398,Aug
1971-08-20,1.077,0.254,Aug
1971-08-21,0.000,0.000,Aug
1971-08-22,8.270,13.716,Aug
1971-08-23,4.116,0.254,Aug
1971-08-24,4.293,0.254,Aug
1971-08-25,0.368,0.000,Aug
1971-08-26,0.140,1.270,Aug
1971-08-27,0.923,0.000,Aug
1971-08-28,1.217,0.254,Aug
1971-08-29,7.485,8.382,Aug
1971-08-30,4.069,30.734,Aug
1971-08-31,4.625,13.970,Aug
1971-09-01,0.000,4.318,Sep
1971-09-02,8.433,7.112,Sep
1971-09-03,7.568,17.526,Sep
1971-09-04,2.116,1.778,Sep
1971-09-05,1.418,4.826,Sep
1971-09-06,7.310,8.128,Sep
1971-09-07,7.804,1.016,Sep
1971-09-08,0.146,5.334,Sep
1971-09-09,7.518,2.794,Sep
1971-09-10,0.091,0.000,Sep
1971-09-11,0.486,0.254,Sep
1971-09-12,0.001,0.000,Sep
1971-09-13,10.554,4.064,Sep
1971-09-14,11.971,1.524,Sep
1971-09-15,24.388,14.986,Sep
1971-09-16,21.890,25.146,Sep
1971-09-17,2.110,0.254,Sep
1971-09-18,0.000,0.000,Sep
1971-09-19,6.333,21.336,Sep
1971-09-20,16.770,7.366,Sep
1971-09-21,39.701,41.148,Sep
1971-09-22,0.790,0.000,Sep
1971-09-23,0.001,0.000,Sep
1971-09-24,0.000,0.000,Sep
1971-09-25,0.000,0.000,Sep
1971-09-26,0.001,0.000,Sep
1971-09-27,0.000,0.000,Sep
1971-09-28,0.001,0.000,Sep
1971-09-29,5.901,1.016,Sep
1971-09-30,9.850,23.368,Sep
1971-10-01,21.140,21.336,Oct
1971-10-02,28.389,25.908,Oct
1971-10-03,12.232,4.318,Oct
1971-10-04,16.001,18.034,Oct
1971-10-05,3.810,0.254,Oct
1971-10-06,5.029,4.572,Oct
1971-10-07,66.100,46.736,Oct
1971-10-08,10.314,38.608,Oct
1971-10-09,16.681,15.748,Oct
1971-10-10,29.845,35.052,Oct
1971-10-11,6.508,26.162,Oct
1971-10-12,3.938,1.778,Oct
1971-10-13,0.000,0.000,Oct
1971-10-14,0.000,0.000,Oct
1971-10-15,4.711,11.176,Oct
1971-10-16,25.646,10.922,Oct
1971-10-17,4.016,0.000,Oct
1971-10-18,2.756,0.254,Oct
1971-10-19,0.000,0.000,Oct
1971-10-20,2.496,0.000,Oct
1971-10-21,0.190,0.000,Oct
1971-10-22,0.040,0.254,Oct
1971-10-23,14.517,29.718,Oct
1971-10-24,0.062,0.000,Oct
1971-10-25,0.000,0.000,Oct
1971-10-26,0.200,0.000,Oct
1971-10-27,12.229,13.970,Oct
1971-10-28,42.278,32.258,Oct
1971-10-29,0.000,0.000,Oct
1971-10-30,3.700,3.810,Oct
1971-10-31,0.518,0.000,Oct
1971-11-01,2.737,3.810,Nov
1971-11-02,2.994,6.604,Nov
1971-11-03,0.001,0.000,Nov
1971-11-04,0.000,0.000,Nov
1971-11-05,0.313,0.254,Nov
1971-11-06,6.546,6.858,Nov
1971-11-07,0.038,0.000,Nov
1971-11-08,0.707,0.000,Nov
1971-11-09,1.162,0.000,Nov
1971-11-10,19.782,26.416,Nov
1971-11-11,19.561,14.986,Nov
1971-11-12,1.603,9.144,Nov
1971-11-13,0.012,0.000,Nov
1971-11-14,10.010,0.000,Nov
1971-11-15,3.910,1.270,Nov
1971-11-16,8.037,1.524,Nov
1971-11-17,42.523,35.052,Nov
1971-11-18,22.833,44.450,Nov
1971-11-19,7.967,26.416,Nov
1971-11-20,0.291,1.016,Nov
1971-11-21,4.022,6.096,Nov
1971-11-22,4.397,0.254,Nov
1971-11-23,0.000,0.254,Nov
1971-11-24,0.000,0.000,Nov
1971-11-25,0.091,0.000,Nov
1971-11-26,0.000,0.000,Nov
1971-11-27,2.853,3.556,Nov
1971-11-28,7.671,12.192,Nov
1971-11-29,3.450,5.334,Nov
1971-11-30,1.353,4.572,Nov
1971-12-01,6.114,1.270,Dec
1971-12-02,16.762,0.254,Dec
1971-12-03,10.669,7.620,Dec
1971-12-04,3.653,0.762,Dec
1971-12-05,0.694,0.254,Dec
1971-12-06,43.141,5.334,Dec
1971-12-07,21.933,2.032,Dec
1971-12-08,1.688,0.254,Dec
1971-12-09,0.000,0.000,Dec
1971-12-10,1.116,6.096,Dec
1971-12-11,0.196,0.000,Dec
1971-12-12,7.527,0.762,Dec
1971-12-13,2.645,0.000,Dec
1971-12-14,0.007,0.254,Dec
1971-12-15,18.238,13.970,Dec
1971-12-16,0.163,0.000,Dec
1971-12-17,6.723,7.366,Dec
1971-12-18,12.538,8.890,Dec
1971-12-19,0.014,2.286,Dec
1971-12-20,0.000,0.000,Dec
1971-12-21,0.000,0.000,Dec
1971-12-22,0.000,0.000,Dec
1971-12-23,1.884,0.000,Dec
1971-12-24,2.509,0.000,Dec
1971-12-25,1.527,2.540,Dec
1971-12-26,11.391,9.906,Dec
1971-12-27,5.139,11.430,Dec
1971-12-28,14.411,42.418,Dec
1971-12-29,7.352,2.540,Dec
1971-12-30,9.523,7.366,Dec
1971-12-31,0.052,1.524,Dec
1972-01-01,0.005,0.254,Jan
1972-01-02,4.299,0.254,Jan
1972-01-03,19.866,1.270,Jan
